,Город,Субъект федерации,Федеральный округ,Код субъекта РФ
839,Зверево,Ростовская область,Южный,61
840,Зерноград,Ростовская область,Южный,61
841,Каменск-Шахтинский,Ростовская область,Южный,61
842,Константиновск,Ростовская область,Южный,61
843,Красный Сулин,Ростовская область,Южный,61
844,Миллерово,Ростовская область,Южный,61
845,Морозовск,Ростовская область,Южный,61
846,Новочеркасск,Ростовская область,Южный,61
847,Новошахтинск,Ростовская область,Южный,61
848,Пролетарск,Ростовская область,Южный,61
849,Ростов-на-Дону,Ростовская область,Южный,61
850,Сальск,Ростовская область,Южный,61
851,Семикаракорск,Ростовская область,Южный,61
852,Таганрог,Ростовская область,Южный,61
853,Цимлянск,Ростовская область,Южный,61
854,Шахты,Ростовская область,Южный,61
855,Касимов,Рязанская область,Центральный,62
856,Кораблино,Рязанская область,Центральный,62
857,Михайлов,Рязанская область,Центральный,62
858,Новомичуринск,Рязанская область,Центральный,62
859,Рыбное,Рязанская область,Центральный,62
860,Ряжск,Рязанская область,Центральный,62
861,Рязань,Рязанская область,Центральный,62
862,Сасово,Рязанская область,Центральный,62
863,Скопин,Рязанская область,Центральный,62
864,Спас-Клепики,Рязанская область,Центральный,62
865,Спасск-Рязанский,Рязанская область,Центральный,62
866,Шацк,Рязанская область,Центральный,62
867,Жигулевск,Самарская область,Приволжский,63
868,Кинель,Самарская область,Приволжский,63
869,Нефтегорск,Самарская область,Приволжский,63
870,Новокуйбышевск,Самарская область,Приволжский,63
871,Октябрьск,Самарская область,Приволжский,63
872,Отрадный,Самарская область,Приволжский,63
873,Похвистнево,Самарская область,Приволжский,63
874,Самара,Самарская область,Приволжский,63
875,Сызрань,Самарская область,Приволжский,63
876,Тольятти,Самарская область,Приволжский,63
877,Чапаевск,Самарская область,Приволжский,63
878,Аркадак,Саратовская область,Приволжский,64
879,Аткарск,Саратовская область,Приволжский,64
880,Балаково,Саратовская область,Приволжский,64
881,Балашов,Саратовская область,Приволжский,64
882,Вольск,Саратовская область,Приволжский,64
883,Вольск-18,Саратовская область,Приволжский,64
884,Ершов,Саратовская область,Приволжский,64
885,Калининск,Саратовская область,Приволжский,64
886,Красноармейск,Саратовская область,Приволжский,64
887,Красный Кут,Саратовская область,Приволжский,64
888,Маркс,Саратовская область,Приволжский,64
889,Новоузенск,Саратовская область,Приволжский,64
890,Петровск,Саратовская область,Приволжский,64
